RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
1051218,2016362596,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/06/2016 01:14:00 PM,10/06/2016 01:14:00 PM,,25XX BLOCK OF MINOR AV E,D,D3,6100.4006,-122.327957153,47.642612457,"(47.642612457, -122.327957153)",10,2016
1051292,2016260528,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,07/21/2016 07:33:00 AM,07/20/2016 01:00:00 PM,07/20/2016 02:00:00 PM,12XX BLOCK OF 1 AV S,K,K2,9300.2030,-122.334197998,47.59135437,"(47.59135437, -122.334197998)",7,2016
1051402,2016906726,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/04/2016 09:04:00 AM,10/03/2016 08:15:00 PM,10/04/2016 05:15:00 AM,22XX BLOCK OF FAIRVIEW AV E,D,D3,6600.2006,-122.329460144,47.638988495,"(47.638988495, -122.329460144)",10,2016
1052162,2016367122,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/10/2016 09:32:00 AM,10/01/2016 10:00:00 AM,10/01/2016 12:00:00 PM,3XX BLOCK OF FAIRVIEW AV N,D,D3,7300.1028,-122.334274292,47.621417999,"(47.621417999, -122.334274292)",10,2016
1052825,2016367494,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/10/2016 04:37:00 PM,10/01/2016 08:00:00 PM,10/10/2016 09:00:00 AM,3XX BLOCK OF NE 50 ST,B,B3,4500.2020,-122.325332642,47.664985657,"(47.664985657, -122.325332642)",10,2016
1052835,2016906827,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/07/2016 03:14:00 PM,10/06/2016 10:30:00 AM,10/06/2016 08:00:00 PM,NW MARKET ST / 22 AV NW,B,B1,4700.4011,-122.384750366,47.668678284,"(47.668678284, -122.384750366)",10,2016
1052847,2016906793,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/05/2016 06:30:00 PM,10/05/2016 08:00:00 AM,10/05/2016 05:00:00 PM,52XX BLOCK OF 21 AV NE,U,U1,4302.1002,-122.305503845,47.667221069,"(47.667221069, -122.305503845)",10,2016
1053232,2016354457,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/30/2016 08:12:00 AM,09/29/2016 06:00:00 PM,09/29/2016 11:00:00 PM,32XX BLOCK OF NW 54 ST,B,B1,3200.4019,-122.398979187,47.667472839,"(47.667472839, -122.398979187)",9,2016
1053297,2016336245,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/16/2016 02:57:00 PM,09/14/2016 10:00:00 AM,09/14/2016 04:00:00 PM,3XX BLOCK OF BROADWAY E,E,E1,7401.2007,-122.320899963,47.62153244,"(47.62153244, -122.320899963)",9,2016
1053338,2016367404,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/10/2016 03:41:00 PM,10/10/2016 08:00:00 AM,10/10/2016 10:00:00 AM,22XX BLOCK OF N 56 ST,B,B3,4600.2009,-122.332351685,47.668819427,"(47.668819427, -122.332351685)",10,2016
